Soda- small, $1.30
Soda- medium ,$1.50
Soda- large ,$1.85
Coffee - medium ,$1.75
Simply OJ ,$2.90
Powerade,$2.15
Odwalla,$3.95
Vitamin Water,$2.90
Sweet Leaf,$2.50
LRF Milk,$1.50
Nantucket Nectar,$2.45
Poland Sparkling water,$1.95
Purity Organic ,$2.90
Vita Coco,$3.15
Cookie large ,$1.65
Bagel,$1.50
Bagel w/Cream Cheese,$2.00
Odwalla Bar,$2.25
Chobani Yogurt ,$2.65
Snacks Deep River ,$1.90
Chips Lays ,$1.50
Baby Carrots,$0.80
Fruit Snacks,$1.70
Sliced apples ,$1.30
Fresh Fruit,$1.35
Yoplait Yogurt,$1.60
Poptarts,$1.65
Cereal,$1.50
Rice Krispees,$1.60
Pudding,$1.90
Nutrigrain,$1.65
Celery sticks ,$0.70
Roch Fruit Salad,$3.95
Salad Custom,$6.65
Quesadilla,$5.65
Grilled Sandwich,$5.50
Spicy Chicken,$5.40
Fries,$1.60
Mozzarella sticks ,$4.35
Chicken Carberry,$6.70
Beef Carberry,$6.70
Onion Rings,$1.75
Chicken Cutlet,$4.50
Chicken Grilled Breast,$5.50
Hamburger,$3.75
Breakfast sandwich,$5.75
Veggie Burger,$5.25
Sausages ,$40
Turkey Carberry,$6.70
